"","area","latitude","longitude","region"
"1",1,45.989,-59.825,"ScotiaFundy"
"2",1,46.38,-59.03,"ScotiaFundy"
"3",1,47.0033,-59.825,"ScotiaFundy"
"4",1,46.925,-59.9333,"ScotiaFundy"
"5",1,46.625,-60.35,"ScotiaFundy"
"6",1,46.35,-60.3175,"ScotiaFundy"
"7",1,46.175,-59.79,"ScotiaFundy"
"8",2,47.0033,-59.825,"ScotiaFundy"
"9",2,47.2383,-59.4917,"ScotiaFundy"
"10",2,46.05,-57.8,"ScotiaFundy"
"11",2,45.82,-58.2,"ScotiaFundy"
"12",2,46.02,-58.5,"ScotiaFundy"
"13",2,46.38,-59.03,"ScotiaFundy"
"14",3,46.05,-57.8,"ScotiaFundy"
"15",3,44.68,-56.25,"ScotiaFundy"
"16",3,44.45,-57.06,"ScotiaFundy"
"17",3,45.12,-57.6,"ScotiaFundy"
"18",3,45.82,-58.2,"ScotiaFundy"
"19",4,45.12,-57.6,"ScotiaFundy"
"20",4,44.45,-57.06,"ScotiaFundy"
"21",4,43.91,-58.88,"ScotiaFundy"
"22",4,44.42,-59.21,"ScotiaFundy"
"23",4,44.44,-60,"ScotiaFundy"
"24",4,44.66,-60,"ScotiaFundy"
"25",4,44.53,-59.35,"ScotiaFundy"
"26",5,46.02,-58.5,"ScotiaFundy"
"27",5,45.82,-58.2,"ScotiaFundy"
"28",5,45.12,-57.6,"ScotiaFundy"
"29",5,44.53,-59.35,"ScotiaFundy"
"30",5,44.66,-60,"ScotiaFundy"
"31",5,45.41,-60,"ScotiaFundy"
"32",6,46.38,-59.03,"ScotiaFundy"
"33",6,46.02,-58.5,"ScotiaFundy"
"34",6,45.41,-60,"ScotiaFundy"
"35",6,44.8,-61.4,"ScotiaFundy"
"36",6,45.02,-61.73,"ScotiaFundy"
"37",6,45.2316,-61.31,"ScotiaFundy"
"38",6,45.18,-61.16,"ScotiaFundy"
"39",6,45.25,-60.93,"ScotiaFundy"
"40",6,45.36,-60.93,"ScotiaFundy"
"41",6,45.3575,-61.06,"ScotiaFundy"
"42",6,45.989,-59.825,"ScotiaFundy"
"43",7,44.8,-61.4,"ScotiaFundy"
"44",7,45.41,-60,"ScotiaFundy"
"45",7,44.44,-60,"ScotiaFundy"
"46",7,44.25,-60.5,"ScotiaFundy"
"47",7,44.35,-61,"ScotiaFundy"
"48",8,44.44,-60,"ScotiaFundy"
"49",8,44.42,-59.21,"ScotiaFundy"
"50",8,43.91,-58.88,"ScotiaFundy"
"51",8,43.9,-58.97,"ScotiaFundy"
"52",8,44.25,-60.5,"ScotiaFundy"
"53",9,44.35,-61,"ScotiaFundy"
"54",9,44.25,-60.5,"ScotiaFundy"
"55",9,43.9,-58.97,"ScotiaFundy"
"56",9,43.3,-61,"ScotiaFundy"
"57",10,44.35,-61,"ScotiaFundy"
"58",10,43.3,-61,"ScotiaFundy"
"59",10,43.01,-61.82,"ScotiaFundy"
"60",10,42.96,-62.2,"ScotiaFundy"
"61",10,43.7,-62.15,"ScotiaFundy"
"62",11,43.71,-62.56,"ScotiaFundy"
"63",11,43.7,-62.15,"ScotiaFundy"
"64",11,42.96,-62.2,"ScotiaFundy"
"65",11,42.91,-62.77,"ScotiaFundy"
"66",11,43.45,-62.75,"ScotiaFundy"
