Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,GF3_name,SDN:P01::Alternative Name
GF3,ALKW,IML,umol/kg,,bottle|sample,,,ALKYZZXX,,umol/kg,bottle,,sea_water_alkalinity_expressed_as_mole_equivalent,SDN:P01::ALKYZZXX,Total alkalinity per unit volume of the water body,SDN:P06::KGUM,Micromoles per kilogram,,,ALKW,TotAlk
CCADI,Upoly0,CCADI,mmol/m^3,,,,,NTRAZZXX,,mmol/m^3,,,,SDN:P01::NTRAZZXX,Concentration of nitrate {NO3- CAS 14797-55-8} per unit volume of the water body [unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of nitrate per unit volume of the water column. Nitrate may be expressed in terms of mass or quantity of substance.,,NTRA,NO3
GF3,412E,"BIO,MEDS",uW/cm^2/nm,,,,,RXUU412E,,uW/cm^2/nm,,,,SDN:P01::RXUU412E,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer,,,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer,,412E,Eu412
GF3,412ESDEV,"BIO,MEDS",,,,,,,,,,,,,,,,,,412ESDEV,
GF3,412L,"BIO,MEDS",uW/cm^2/nm/sr,,,,,RXUU412L,,uW/cm^2/nm/sr,,,,SDN:P01::RXUU412L,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor,,,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor,,412L,Lu412
GF3,412LSDEV,"BIO,MEDS",,,,,,,,,,,,,,,,,,412LSDEV,
GF3,443E,"BIO,MEDS",uW/cm^2/nm,,,,,RXUU443E,,uW/cm^2/nm,,,,SDN:P01::RXUU443E,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer,,,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer,,443E,Eu443
GF3,443ESDEV,MEDS,uW/cm**2/n,,,,,,,uW/cm**2/n,,,,,,,,Irradiance 443nm Standard Deviation. Unité: uW/cm**2/nm,,443ESDEV,
GF3,443L,"BIO,MEDS",uW/cm^2/nm/sr,,,,,RXUU443L,,uW/cm^2/nm/sr,,,,SDN:P01::RXUU443L,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor,,,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor,,443L,Lu443
GF3,443LSDEV,"BIO,MEDS",Uw/cm^2/nm/sr,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,,443LSDEV,
GF3,443SDEV,BIO,Uw/cm^2/nm,,,,,,,Uw/cm^2/nm,,,,,,,,,,443SDEV,
GF3,490E,"BIO,MEDS",uW/cm^2/nm,,,,,RXUU490E,,uW/cm^2/nm,,,,SDN:P01::RXUU490E,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer,,,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer,,490E,Eu490
GF3,490ESDEV,"BIO,MEDS",uW/cm^2/nm,,,,,,,uW/cm^2/nm,,,,,,,,,,490ESDEV,
GF3,490L,"BIO,MEDS",uW/cm^2/nm/sr,,,,,RXUU490L,,uW/cm^2/nm/sr,,,,SDN:P01::RXUU490L,Upwelling radiance as energy of electromagnetic radiation (490nm wavelength) in the water body by radiance sensor,,,Upwelling radiance as energy of electromagnetic radiation (490nm wavelength) in the water body by radiance sensor,,490L,Lu490
GF3,490LSDEV,"BIO,MEDS",Uw/cm^2/nm/sr,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,,490LSDEV,
GF3,510E,"BIO,MEDS",Uw/cm^2/nm,,,,,RXUU510E,,Uw/cm^2/nm,,,,SDN:P01::RXUU510E,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer,,,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer,,510E,Eu510
GF3,510ESDEV,"BIO,MEDS",Uw/cm^2/nm,,,,,,,Uw/cm^2/nm,,,,,,,,,,510ESDEV,
GF3,510L,"BIO,MEDS",uW/cm^2/nm/sr,,,,,RXUU510L,,uW/cm^2/nm/sr,,,,SDN:P01::RXUU510L,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor,,,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor,,510L,Lu510
GF3,510LSDEV,"BIO,MEDS",Uw/cm^2/nm/sr,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,,510LSDEV,
GF3,555E,"BIO,MEDS",uW/cm^2/nm,,,,,RXUU555E,,uW/cm^2/nm,,,,SDN:P01::RXUU555E,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer,,,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer,,555E,Eu555
GF3,555ESDEV,"BIO,MEDS",uW/cm^2/nm,,,,,,,uW/cm^2/nm,,,,,,,,,,555ESDEV,
GF3,555L,"BIO,MEDS",uW/cm^2/nm/sr,,,,,RXUU555L,,uW/cm^2/nm/sr,,,,SDN:P01::RXUU555L,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor,,,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor,,555L,Lu555
GF3,555LSDEV,"BIO,MEDS",Uw/cm^2/nm/sr,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,,555LSDEV,
GF3,669E,"BIO,MEDS",uW/cm^2/nm,,,,,IRRDE669,,uW/cm^2/nm,,,,SDN:P01::IRRDE669,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer,,,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer,,669E,SubsurE669
GF3,669ESDEV,"BIO,MEDS",uW/cm^2/nm,,,,,,,uW/cm^2/nm,,,,,,,,,,669ESDEV,
GF3,669L,"BIO,MEDS",uW/cm^2/nm/sr,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,669L,
GF3,669LSDEV,"BIO,MEDS",uW/cm^2/nm/sr,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,669LSDEV,
GF3,683E,"BIO,MEDS",uW/cm^2/nm,,,,,RXUD683E,,uW/cm^2/nm,,,,SDN:P01::RXUD683E,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,,,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,,683E,Ed683
GF3,683ESDEV,"BIO,MEDS",uW/cm^2/nm,,,,,,,uW/cm^2/nm,,,,,,,,,,683ESDEV,
GF3,683L,"BIO,MEDS",uW/cm^2/nm/sr,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,683L,
GF3,683LSDEV,"BIO,MEDS",uW/cm^2/nm/sr,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,683LSDEV,
GF3,ABA$,MEDS,,,,,,,,,,,,,,,,,,ABA$,
GF3,ABSH,"BIO,IML,MEDS",g/m^3|gram per metre cube,,,,,CHUMZZ01,,g/m^3,,,specific_humidity,SDN:P01::CHUMZZ01,Relative humidity of the atmosphere,SDN:P06::UGMC,Grams per cubic metre,Relative humidity of the atmosphere,,ABSH,RelHumidity
GF3,AC2$,MEDS,,,,,,,,,,,,,,,,,,AC2$,
GF3,ACC$,MEDS,,,,,,,,,,,,,,,,,,ACC$,
