Vocabulary,name,Users,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:units,BIO:P06 urn,BIO:P06 name,BIO:P01 urn,BIO:P01 name,BIO:CF_CODE,IML:definition,IML:units,long_name,expected_units,scale,standard_name,SDN:P07::id,SDN:P01::id,SDN:P01::urn,SDN:P01::prefLabel,sdn_parameter_urn,sdn_parameter_name,SDN:P06::id,SDN:P06::urn,SDN:P06::prefLabel,sdn_uom_urn,sdn_uom_name,definition,convention,scale_factor,GF3_name,Alternative units,SDN:P01::Alternative Name
GF3,412E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,RXUU412E,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer,,,,,uW/cm^2/nm,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU412E/,RXUU412E,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUU412E,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer,,,,,,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer,,,412E,,
GF3,412ESDEV,"BIO,MEDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412ESDEV,,
GF3,412L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,RXUU412L,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor,,,,,uW/cm^2/nm/sr,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU412L/,RXUU412L,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor,SDN:P01::RXUU412L,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor,,,,,,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor,,,412L,,
GF3,412LSDEV,"BIO,MEDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412LSDEV,,
GF3,443E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,RXUU443E,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer,,,,,uW/cm^2/nm,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU443E/,RXUU443E,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUU443E,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer,,,,,,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer,,,443E,,
GF3,443ESDEV,MEDS,,,,,,,,,,,,,,,,Irradiance 443nm Standard Deviation. Unité: uW/cm**2/nm,uW/cm**2/n,,uW/cm**2/n,,,,,,,,,,,,,,Irradiance 443nm Standard Deviation. Unité: uW/cm**2/nm,,,443ESDEV,,
GF3,443L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,RXUU443L,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor,,,,,uW/cm^2/nm/sr,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU443L/,RXUU443L,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor,SDN:P01::RXUU443L,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor,,,,,,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor,,,443L,,
GF3,443LSDEV,"BIO,MEDS",,,,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,,,,,,,,,443LSDEV,,
GF3,443SDEV,BIO,,,,,,,,,,Uw/cm^2/nm,,,,,,,,,Uw/cm^2/nm,,,,,,,,,,,,,,,,,443SDEV,,
GF3,490E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,RXUU490E,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer,,,,,uW/cm^2/nm,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU490E/,RXUU490E,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUU490E,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer,,,,,,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer,,,490E,,
