id,institution,institution_fr,dfo_code,institution_address,region,country,ioc_country_code,iso_3166_country_code,ices_accronym,ices_edmo_code,NODC/WOD Code,sdn_institution_urn
2,Bedford Institute of Oceanography,Institut océanographique de Bedford,BIO,"P.O. Box 1006, Dartmouth, NS, B2Y 4A2",Maritimes,Canada,18,CA,BIOC,1811,149,SDN:EDMO::1811
1,Gulf Fisheries Centre," Centre des pêches du Golfe",GFC,"343 Université Avenue, P.O. Box 5030, Moncton, NB, E1C 9B6",Gulf,Canada,18,CA,GFCC,,,
3,Maurice Lamontagne Institute,Institut Maurice-Lamontagne,IML,"850, route de la Mer, P.O. Box 1000, Mont-Joli, QC, G5H 3Z4",Quebec,Canada,18,CA,,4160,1149,
4,Northwest Atlantic Fisheries Centre,Centre des pêches de l'Atlantique Nord-ouest,NAFC,"80 East White Hills Road, St. John's, NL, A1A 5J7",Newfoundland and Labrador,Canada,18,CA,,4157,,
5,Freshwater Institute,L'Institut des eaux douces,FWI,"501 University Crescent, Winnipeg, MB, R3T 2N6",Central and Arctic,Canada,18,CA,FIUC,4384,,
6,Institute of Ocean Sciences,Institut des sciences de la mer,IOS,"9860 West Saanich Road, P.O. Box 6000, Sidney, BC, V8L 4B2",Pacific,Canada,18,CA,OSBC,4155,154,
7,Pacific Biological Station,Station biologique du Pacifique,PBS,"3190 Hammond Bay Road, Nanaimo, BC, V9T 6N7",Pacific,Canada,18,CA,,4180,138,
8,Pacific Science Enterprise Centre,Centre d’entreprise des sciences de la pacifique,,"4160 Marine Drive, West Vancouver, BC, V7V 1N6",Pacific,Canada,18,CA,,917,147,
9,St. Andrews Biological Station,Station biologique de St. Andrews,SABBS,"125 Marine Science Drive, St. Andrews, NB, E5B 0E4",Maritimes,Canada,18,CA,,4161,136,
10,Bayfield Institute,L'Institut Bayfield,BAYFIELD,"867 Lakeshore Road, Burlington, ON, L7S 1A1",Central and Arctic,Canada,18,CA,,4393,172,
11,"Canadian Oceanographic Data Center, Marine Environmental Data Section","Centre Canadien des Données Océanographiques, Archive de la Section des Données sur le Milieu Marin (SDMM)",MEDS,"200 Kent Street, 12th Floor, Station 12S, Ottawa, K1A OE6",Ottawa,Canada,18,CA,,1979,1199,
12,Woods Hole Oceanographic Institute,Institut océanographique de Woods Hole,WHOI,"86 Water St, Woods Hole, MA 02543, United States",United States,United States of America,,US,,3844,394,
13,University of Washington,Université de Washington,Univ.Wash.,"1410 NE Campus Parkway, Seattle, WA 98195",United States,United States of America,,US,,3839,400,
14,University of Victoria,Université de Victoria,UVIC,"PO Box 1700 STN CSC, Victoria, BC, V8W 2Y2, Canada",Pacific,Canada,18,CA,,2262,158,
15,University of British Columbia,Université de la Colombie-Britannique,UBC,"2329 West Mall, Vancouver, BC, V6T 1Z4, Canada",Pacific,Canada,18,CA,,2220,146,
16,University of Quebec at  Rimouski,Université du Québec à Rimouski,UQAR,"300 Allée des Ursulines, Rimouski, QC, G5L 3A1, Canada",Quebec,Canada,18,CA,,3361,,
17,Memorial University,Université Memorial,MEMORIAL,"230 Elizabeth Ave, St. John's, NL, A1C 5S7,  Canada",Newfoundland and Labrador,Canada,18,CA,,2649,1148,
18,Dalhousie University,Université Dalhousie,DAL,"6299 South St, Halifax, NS, B3H 4R2, Canada",Maritimes,Canada,18,CA,,2279,150,
