group,station,longitude,latitude,depth_m,comments,
BIO,AR7W01,-55.55,53.68,,,
BIO,AR7W02,-55.43667,53.79667,,,
BIO,AR7W03,-55.25,53.98833,,,
BIO,AR7W04,-55.02333,54.22,,,
BIO,AR7W05,-54.75667,54.49167,,,
BIO,AR7W06,-54.48667,54.76167,,,
BIO,AR7W07,-54.295,54.955,,,
BIO,AR7W08,-54.21667,55.03333,,,
BIO,AR7W08.5,-54.13833,55.11167,,,
BIO,AR7W09,-53.99333,55.26333,,,
BIO,AR7W10,-53.82667,55.42,,,
BIO,AR7W10.5,-53.72917,55.51583,,,
BIO,AR7W11,-53.63167,55.61167,,,
BIO,AR7W11.5,-53.51333,55.72833,,,
BIO,AR7W12,-53.39333,55.845,,,
BIO,AR7W13,-53.11667,56.11333,,,
BIO,AR7W13.5,-52.8975,56.325,,,
BIO,AR7W14,-52.67833,56.53667,,,
BIO,AR7W14.5,-52.4575,56.74667,,,
BIO,AR7W15,-52.23667,56.95667,,,
BIO,AR7W15.5,-52.01417,57.16667,,,
BIO,AR7W16,-51.79167,57.37667,,,
BIO,AR7W16.5,-51.56583,57.58833,,,
BIO,AR7W17,-51.34,57.8,,,
BIO,AR7W17.5,-51.11167,58.00833,,,
BIO,AR7W18,-50.88333,58.21667,,,
BIO,AR7W18.5,-50.65,58.42833,,,
BIO,AR7W19,-50.41667,58.64,,,
BIO,AR7W19.5,-50.18333,58.85333,,,
BIO,AR7W20,-49.95,59.06667,,,
BIO,AR7W20.5,-49.71923,59.26263,,,
BIO,AR7W21,-49.475,59.48333,,,
BIO,AR7W21.5,-49.31316,59.61922,,,
BIO,AR7W22,-49.16667,59.75,,,
BIO,AR7W22.5,-49.03333,59.86667,,,
BIO,AR7W23,-48.9,59.98333,,,
BIO,AR7W23.5,-48.7875,60.07917,,,
BIO,AR7W24,-48.675,60.175,,,
BIO,AR7W24.5,-48.60833,60.23333,,,
BIO,AR7W25,-48.54167,60.29167,,,
BIO,AR7W25.5,-48.4975,60.32917,,,
BIO,AR7W26,-48.45333,60.36667,,,
BIO,AR7W26.5,-48.4075,60.40667,,,
BIO,AR7W27,-48.36167,60.44667,,,
BIO,AR7W27.5,-48.295,60.50667,,,
BIO,AR7W28,-48.22833,60.56667,,,
BIO,AR7W28.5,-48.20064,60.61724,,,
BIO,BBL01,-65.48,43.25,-55.08,,
BIO,BBL02,-65.48,43.0,-114.79,,
BIO,BBL03,-65.483,42.76,-101.83,,
BIO,BBL04,-65.483,42.45,-96.55,,
BIO,BBL05,-65.5,42.133,-187.11,,
BIO,BBL06,-65.51,42.0,-934.51,,
BIO,BBL07,-65.35,41.867,-1817.99,,
BIO,BIL01,-56.1435,51.7028,,,
BIO,CANSO,-60.4802,45.446,-195,Canso bank,
BIO,CSL01,-60.217,46.958,-76.22,,
BIO,CSL02,-60.117,47.023,-182.53,,
BIO,CSL03,-59.992,47.1,-322.35,,
BIO,CSL04,-59.783,47.272,-463.78,,
BIO,CSL05,-59.558,47.433,-470.54,,
BIO,CSL06,-59.342,47.583,-235.12,,
BIO,EB,-62.8135,43.8935,-252,Emerald Basin,
BIO,ED,-61.4743,44.8228,-82,,
BIO,GUL00,-59.5502,44.2325,-215.0,,
BIO,GUL01,-59.107,44.099,-531.28,,
BIO,GUL02,-59.0,44.01,-1133.56,,
BIO,GUL03,-58.954,43.889,-1394.12,,
BIO,GUL04,-58.9,43.79,-1913.89,,
BIO,GULD03,-59.02,44.0,-445.19,,
BIO,GWA00,-61.697,44.337,-158,Gully,
BIO,GWA01,-60.466,44.316,-148,Gully,
BIO,HL00,-63.641,44.6927,-70.0,,
BIO,HL01,-63.45,44.4,-83.09,,
BIO,HL02,-63.317,44.267,-146.53,,
BIO,HL02A,-63.1595,44.1083,-139,,
BIO,HL03,-62.883,43.883,-261.76,,
