"seq_dict_md","arbr_gen_dict_md","cle_dict_md","acr_dict_md","arbr_simpl_dic_md","abr_feuil_dict_md","def_dict_md","stat_dict_md","mot_cle_dict_md","seq_dict_md_pere","arbr_gen_pere_dict_md","id_ty_md","seq_dom","seq_dict_md_prop","acr_sn_md","acron_mot_dict","verr_dict_md","det_equiv_dict_md","det_categ_dict_md","det_mc_dict_md","det_fils_dict_md"
1,"MPO.BEAM","MPO.BEAM","BEAM","MPO.BEAM","MPO.BEAM","Intensité de l`écho d`un faisceau d`un ADCP",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","BEAM",0,0,0,0,0
2,"MPO.EWCS","MPO.EWCS","EWCS","MPO.EWCS","MPO.EWCS","East (true) Component of Current (mm/s)",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","EWCS",0,0,0,2,0
3,"MPO.NSCS","MPO.NSCS","NSCS","MPO.NSCS","MPO.NSCS","North (true) Component of Current (mm/s)",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","NSCS",0,0,0,2,0
4,"MPO.UDCS","MPO.UDCS","UDCS","MPO.UDCS","MPO.UDCS","Vertical Current Speed (positive up) Unit: mm/s",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","UDCS",0,0,0,2,0
5,"MPO.EVEL","MPO.EVEL","EVEL","MPO.EVEL","MPO.EVEL","Error Velocity (ADCP). Unit: mm/s",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","EVEL",0,0,0,2,0
6,"QO.BEAM_1","QO.BEAM_1","BEAM_1","QO.BEAM_1","QO.BEAM_1","",-1,NULL,NULL,NULL,1,NULL,NULL,"QO","BEAM_1",0,0,0,0,0
7,"QO.BEAM_2","QO.BEAM_2","BEAM_2","QO.BEAM_2","QO.BEAM_2","Intensité de l`écho du faisceau 2",-1,NULL,NULL,NULL,1,NULL,NULL,"QO","BEAM_2",0,0,0,0,0
8,"QO.BEAM_3","QO.BEAM_3","BEAM_3","QO.BEAM_3","QO.BEAM_3","Intensité de l`écho du faisceau 3",-1,NULL,NULL,NULL,1,NULL,NULL,"QO","BEAM_3",0,0,0,0,0
9,"QO.BEAM_4","QO.BEAM_4","BEAM_4","QO.BEAM_4","QO.BEAM_4","Intensité de l`écho du faisceau 4",-1,NULL,NULL,NULL,1,NULL,NULL,"QO","BEAM_4",0,0,0,0,0
10,"QO.RPOT","QO.RPOT","RPOT","QO.RPOT","QO.RPOT","Potentiel d`oxydoréduction. Unité: `mV`",-1,NULL,NULL,NULL,1,NULL,NULL,"QO","RPOT",0,0,0,0,0
11,"QO.HEIG","QO.HEIG","HEIG","QO.HEIG","QO.HEIG","Hauteur au dessus du fond. Unité: m",-1,NULL,NULL,NULL,1,NULL,NULL,"QO","HEIG",0,0,0,0,0
12,"MPO.BATH","MPO.BATH","BATH","MPO.BATH","MPO.BATH","Bathymetric deph in meter.",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","BATH",0,0,0,0,0
14,"QO.PCO2","MPO.PCO2","PCO2","QO.PCO2","QO.PCO2","In situ dissolved CO2",-1,NULL,NULL,NULL,1,NULL,NULL,"QO","PCO2",0,0,0,0,0
1977,"MPO.CNDC","MPO.CNDC","CNDC","MPO.CNDC","MPO.CNDC","Conductivité électrique de l'eau de mer.  unités: 'mmhos/m'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","CNDC",NULL,0,3,0,0
1978,"MPO.CRAT","MPO.CRAT","CRAT","MPO.CRAT","MPO.CRAT","Rapport de conductivité de l'eau de mer.  Unités: ' '",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","CRAT",NULL,0,3,0,0
1979,"MPO.DENS","MPO.DENS","DENS","MPO.DENS","MPO.DENS","Densité de l'eau de mer.  Unités: 'kg/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","DENS",NULL,0,3,3,0
1980,"MPO.DEPH","MPO.DEPH","DEPH","MPO.DEPH","MPO.DEPH","Profondeur d'immersion sous la surface de la mer.  Unités: 'metres'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","DEPH",NULL,0,3,0,0
1981,"MPO.DOXY","MPO.DOXY","DOXY","MPO.DOXY","MPO.DOXY","Concentration d'oxygène dissous dans l'eau de mer.  Unités: 'ml/l'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","DOXY",NULL,0,3,3,0
1985,"MPO.OCUR","MPO.OCUR","OCUR","MPO.OCUR","MPO.OCUR","Courant mesuré par le senseur d'oxygène.  Unités: 'uA'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","OCUR",NULL,0,3,3,0
1986,"MPO.OTMP","MPO.OTMP","OTMP","MPO.OTMP","MPO.OTMP","Température interne du senseur d'oxygène.  Unités: 'degrees C'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","OTMP",NULL,0,3,3,0
1987,"MPO.PRES","MPO.PRES","PRES","MPO.PRES","MPO.PRES","Pression mesurée par le senseur de pression à profondeur d'immersion.  Unités: 'decibars'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","PRES",NULL,0,3,3,0
1988,"MPO.PSAL","MPO.PSAL","PSAL","MPO.PSAL","MPO.PSAL","Salinité pratique de l'eau de mer.  Unités: ' '",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","PSAL",NULL,0,3,3,0
1989,"MPO.QQQQ","MPO.QQQQ","QQQQ","MPO.QQQQ","MPO.QQQQ","Sémaphore de contrôle de qualité.  Unités: ' '",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","QQQQ",NULL,0,3,0,0
1990,"MPO.SIGT","MPO.SIGT","SIGT","MPO.SIGT","MPO.SIGT","Sigmat-t de l'eau de mer.  Unités: 'kg/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","SIGT",NULL,0,3,3,0
1991,"MPO.SYTM","MPO.SYTM","SYTM","MPO.SYTM","MPO.SYTM","Temps système formaté selon la chaîne suivante:  'DD-MMM-YYYY HH:MM:SS.ss'  Unités: ' '",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","SYTM",NULL,0,3,0,0
1992,"MPO.TEMP","MPO.TEMP","TEMP","MPO.TEMP","MPO.TEMP","Température de l'eau de mer exprimée selon l'échelle IPTS68.  Unités: 'degrees C'    Unités: ' '",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","TEMP",NULL,1,3,3,0
1993,"MPO.DPDT","MPO.DPDT","DPDT","MPO.DPDT","MPO.DPDT","Taux de descente de l'appareil.  Unités: 'metres/s'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","DPDT",NULL,0,3,0,0
1994,"MPO.CNTR","MPO.CNTR","CNTR","MPO.CNTR","MPO.CNTR","Numéro de ligne dans un fichier MPO.  Unités: ' '",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","CNTR",NULL,0,3,0,0
1995,"MPO.TE90","MPO.TE90","TE90","MPO.TE90","MPO.TE90","Température de l'eau de mer exprimée selon l'échelle ITS90.  Unités: 'degrees C'  ",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","TE90",NULL,0,3,3,0
1996,"MPO.QCFF","MPO.QCFF","QCFF","MPO.QCFF","MPO.QCFF","Sémaphore de contrôle de qualité pour un enregistrement.  En décomposant ce nombre, il est possible de connaître quel test a échoué ligne par ligne.  Unités: ' '",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","QCFF",NULL,0,3,0,0
1997,"MPO.FLOR","MPO.FLOR","FLOR","MPO.FLOR","MPO.FLOR","Fluorescence mesurée par un senseur.  Unités: ' '",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","FLOR",NULL,0,3,3,0
1998,"MPO.OXYG","MPO.OXYG","OXYG","MPO.OXYG","MPO.OXYG","Concentration d'oxygène dissous dans l'eau de mer.  Unités: 'umol/kg'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","OXYG",NULL,0,3,3,0
1999,"MPO.OSAT","MPO.OSAT","OSAT","MPO.OSAT","MPO.OSAT","Pourcentage de saturation de l'oxygène dans l'eau de mer'  Unités: '%'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","OSAT",NULL,0,3,3,0
