Vocabulary,name,Users,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:units,BIO:P06 urn,BIO:P06 name,BIO:P01 urn,BIO:P01 name,BIO:CF_CODE,IML:definition,IML:units,standard_name,SDN:P07::id,SDN:P01::id,SDN:P01::urn,SDN:P01::prefLabel,sdn_parameter_urn,sdn_parameter_name,SDN:P06::id,SDN:P06::urn,SDN:P06::prefLabel,sdn_uom_urn,sdn_uom_name,expected_units,definition,convention
BIO,ALTB,BIO,A,Position and navigation,Position et navigation,metre,mètre,,height_above_bottom,,,metres,ULAA,metres,AHSGZZ01,Height above bed in the water body,,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,ULAA,Metres,SDN:P06::ULAA,Metres,metre,,
BIO,DOXY,BIO,A,Biological Oceanography,Océanographie biologique,millilitre per litre,millilitre par litre,,,,,ml/L,UMLL,milliliters per litre,DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZ01/,DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,SDN:P01::DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,http://vocab.nerc.ac.uk/collection/P06/current/UMLL/,UMLL,Millilitres per litre,SDN:P06::UMLL,Millilitres per litre,"millilitre per litre,ml/L",Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,
BIO,PSAR,BIO,A,Biological Oceanography,Océanographie biologique,micromole per metre square per second,micromole par mètre carré par seconde,,,,,micromoles,,,,,,,,,,,,,,,,,,,,"micromoles,micromole per metre square per second",,
BIO,PVAR,BIO,A,General purpose,Tout usage,dimensionless,sans dimension,,,,,,,,,,,,,,,,,,,,,,,,,dimensionless,,
BIO,TEXT,BIO,A,General purpose,Tout usage,dimensionless,sans dimension,,,,,,,,,,,,,,,,,,,,,,,,,dimensionless,,
BIO,TRAN,BIO,A,Biological Oceanography,Océanographie biologique,percent per metre,pourcentage par mètre,,,,,%,UPCT,percent,,,,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,UPCT,Percent,SDN:P06::UPCT,Percent,"percent per metre,percent",,
BIO,WDIR,BIO,A,Meteorology,Météorologie,degree(angle),degré(angle),,,,True,degrees,UAAA,degrees,,,wind_to_direction,,,wind_to_direction,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0041/,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,UAAA,Degrees,SDN:P06::UAAA,Degrees,degree,,True
CSIRO,MFD#,CSIRO,A,Instrument characteristics,Caractéristiques de l'instrument,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,412E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,RXUU412E,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU412E/,RXUU412E,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUU412E,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer,,,,,,uW/cm^2/nm,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer,
GF3,412ESDEV,"BIO,MEDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,412L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,RXUU412L,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU412L/,RXUU412L,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor,SDN:P01::RXUU412L,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor,,,,,,uW/cm^2/nm/sr,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor,
GF3,412LSDEV,"BIO,MEDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,443E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,RXUU443E,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU443E/,RXUU443E,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUU443E,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer,,,,,,uW/cm^2/nm,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer,
