CODE,OWNER,STATUS,CATEGORY_MEANING_E,CATEGORY_MEANING_F,UNITS_DESCRIPTOR_E,UNITS_DESCRIPTOR_F,CF_CODE,NETCDF_LONG_NAME,WMO_CODE_TABLE_ID,CONVENTION
ABA$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,
ABSH,BIO,A,Meteorology,Météorologie,gram per metre cube,gramme par mètre cube,,,,
ABSH,IML,A,Meteorology,Météorologie,gram per metre cube,gramme par mètre cube,,,,
ABSH,MEDS,A,Meteorology,Météorologie,gram per metre cube,gramme par mètre cube,,absolute_humidity,,
AC2$,MEDS,A,General purpose,Tout usage,text,texte,,unique_number_HHMMSS_profNo
,,
AC2$,NODC,A,General purpose,Tout usage,text,texte,,,,
ACC$,MEDS,A,General purpose,Tout usage,text,texte,,accession_number_meds,,
ACC$,NODC,A,General purpose,Tout usage,text,texte,,,,
ACCS,MEDS,A,General purpose,Tout usage,text,texte,,,,
ACCS,NODC,A,General purpose,Tout usage,text,texte,,,,
ACF$,MEDS,A,General purpose,Tout usage,text,texte,,instrument_active_yn,,
ACI$,MEDS,A,General purpose,Tout usage,text,texte,,number_accession_tidal_station,,
ACT$,MEDS,A,General purpose,Tout usage,text,texte,,type_accession_tidal_station,,
ACY$,MEDS,A,General purpose,Tout usage,text,texte,,year_accession_tidal_station,,
ADDP,NODC,A,General purpose,Tout usage,text,texte,,,,
ADID,MEDS,A,General purpose,Tout usage,text,texte,,id_database_aodc,,
ADID,NODC,A,General purpose,Tout usage,text,texte,,,,
ADNB,MEDS,A,Wave,Vague,number,nombre,,number_of_blocks_averaged_in_spectrum,,
ADNS,MEDS,A,Wave,Vague,number,nombre,,number_of_samples_per_Fourier_block,,
ADPF,NODC,A,General purpose,Tout usage,text,texte,,,,
ADST,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,automatic_gain_control,,
ADSV,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,automatic_gain_control_variance,,
AED1,MEDS,A,Wave,Vague,degree(angle),degré(angle),,wave_direction_AES_from_METOC_hindcast,,
AFC$,NODC,A,General purpose,Tout usage,text,texte,,,,
AFN$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,
