standard_name,SDN:P01::urn,SDN:P01:: Pref Label,unit,scale,instrument,Calibration Review,Generate Variable
sea_water_temperature, TEMPPR01, The degree of hotness of the water column expressed against a standard scale. Includes both IPTS-68 and ITS-90 scales.,degC|degrees_celsius,,,,TRUE
sea_water_temperature, TEMPP681, Temperature (IPTS-68) of the water body,degC|degrees_celsius,IPTS-68,,,TRUE
sea_water_temperature, TEMPP901, Temperature (ITS-90) of the water body,degC|degrees_celsius,ITS-90,,,TRUE
sea_water_temperature, TEMPPP01, Temperature of the water body by YSI profiling oxygen and temperature probe,degC|degrees_celsius,,YSI,,FALSE
sea_water_temperature, TEMPMV01, Temperature of the water body by moving vessel profiler (MVP),degC|degrees_celsius,,MVP,,FALSE
sea_water_temperature, TEMPTC01, Temperature of the water body by in-situ thermistor,degC|degrees_celsius,,,,FALSE
sea_water_temperature, TEMPET01, Temperature of the water body by expendable bathythermograph (XBT),degC|degrees_celsius,,XBT,,FALSE
sea_water_temperature, TEMPSZ01, Temperature of the water body by thermosalinograph,degC|degrees_celsius,,TSG|SBE\s+45,,FALSE
sea_water_temperature, TEMPRTNX, Temperature of the water body by reversing thermometer,degC|degrees_celsius,,reversing,,FALSE
sea_water_temperature, TEMPR601, Temperature (IPTS-68) of the water body by reversing thermometer,degC|degrees_celsius,IPTS-68,reversing,,FALSE
sea_water_temperature, TEMPR901, Temperature (ITS-90) of the water body by reversing thermometer,degC|degrees_celsius,ITS-90,reversing,,FALSE
sea_water_temperature, TEMPS601, Temperature (IPTS-68) of the water body by CTD or STD,degC|degrees_celsius,IPTS-68,CTD,,FALSE
sea_water_temperature, TEMPS901, Temperature (ITS-90) of the water body by CTD or STD,degC|degrees_celsius,ITS-90,CTD,,FALSE
