OWNER,GF3_CODE,MEDS:index,MEDS:GF3_CODE,MEDS:OWNER,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:P01 urn,BIO:P01 name,BIO:P06 name,BIO:OWNER,BIO:CF_CODE,BIO:P06 urn,BIO:GF3_CODE,BIO:units,CF_CODE,NERC:P07 id,NERC:P01 id,NERC:P01 urn
BIO,412E,,,,,,,,,,,,,RXUU412E,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer,,BIO,,,412E,uW/cm^2/nm,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU412E/,RXUU412E
BIO,412ESDEV,,,,,,,,,,,,,,,,BIO,,,412ESDEV,,,,,
BIO,412L,,,,,,,,,,,,,RXUU412L,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor,,BIO,,,412L,uW/cm^2/nm/sr,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU412L/,RXUU412L
BIO,412LSDEV,,,,,,,,,,,,,,,,BIO,,,412LSDEV,,,,,
BIO,443E,,,,,,,,,,,,,RXUU443E,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer,,BIO,,,443E,uW/cm^2/nm,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU443E/,RXUU443E
BIO,443L,,,,,,,,,,,,,RXUU443L,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor,,BIO,,,443L,uW/cm^2/nm/sr,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU443L/,RXUU443L
BIO,443LSDEV,,,,,,,,,,,,,,,,BIO,,,443LSDEV,Uw/cm^2/nm/sr,,,,
BIO,443SDEV,,,,,,,,,,,,,,,,BIO,,,443SDEV,Uw/cm^2/nm,,,,
BIO,490E,,,,,,,,,,,,,RXUU490E,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer,,BIO,,,490E,uW/cm^2/nm,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU490E/,RXUU490E
BIO,490ESDEV,,,,,,,,,,,,,,,,BIO,,,490ESDEV,uW/cm^2/nm,,,,
